phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
27,25.817198276519775,6.454299569129944,6.483788013458252,2.487569957971573,0.6218924894928932,0.752571702003479
28,25.824193954467773,6.456048488616943,6.4852142333984375,2.548981934785843,0.6372454836964607,0.7712709307670593
29,25.83124017715454,6.457810044288635,6.486666679382324,2.6108354926109314,0.6527088731527328,0.7902641296386719
30,25.83830213546753,6.459575533866882,6.488173007965088,2.669461190700531,0.6673652976751328,0.8080108165740967
31,25.84530544281006,6.461326360702515,6.489704608917236,2.7250910997390747,0.6812727749347687,0.8245419859886169
32,25.85281467437744,6.46320366859436,6.491403579711914,2.7828729152679443,0.6957182288169861,0.8415670990943909
33,25.859583854675293,6.464895963668823,6.492917060852051,2.832469403743744,0.708117350935936,0.8564937710762024
34,25.866816997528076,6.466704249382019,6.4945502281188965,2.8825127482414246,0.7206281870603561,0.8715091943740845
35,25.87418556213379,6.468546390533447,6.496090412139893,2.9355562329292297,0.7338890582323074,0.8879169225692749
36,25.881577968597412,6.470394492149353,6.49769926071167,2.989313006401062,0.7473282516002655,0.904071569442749
37,25.888718605041504,6.472179651260376,6.499249458312988,3.0396482944488525,0.7599120736122131,0.919709324836731
38,25.89541006088257,6.473852515220642,6.500712871551514,3.0865678787231445,0.7716419696807861,0.9341611862182617
39,25.90165615081787,6.475414037704468,6.5026021003723145,3.130142390727997,0.7825355976819992,0.9474859833717346
40,25.9074649810791,6.476866245269775,6.504587650299072,3.170487105846405,0.7926217764616013,0.9597476720809937
41,25.9128475189209,6.478211879730225,6.506423473358154,3.20774644613266,0.801936611533165,0.971012532711029
42,25.91782283782959,6.4794557094573975,6.508118152618408,3.2420825362205505,0.8105206340551376,0.9813469052314758
43,25.921895503997803,6.480473875999451,6.509531021118164,3.2694472670555115,0.8173618167638779,0.989389181137085
44,25.925658226013184,6.481414556503296,6.510832786560059,3.294794976711273,0.8236987441778183,0.9967949390411377
45,25.929805278778076,6.482451319694519,6.512142658233643,3.3228926062583923,0.8307231515645981,1.0038563013076782
46,25.933490753173828,6.483372688293457,6.513457298278809,3.3501420617103577,0.8375355154275894,1.0110913515090942
47,25.936924934387207,6.484231233596802,6.514673233032227,3.375580072402954,0.8438950181007385,1.0177980661392212
48,25.94098472595215,6.485246181488037,6.51622200012207,3.403753697872162,0.8509384244680405,1.0264651775360107
49,25.945688247680664,6.486422061920166,6.517945766448975,3.435334324836731,0.8588335812091827,1.0357517004013062
50,25.95006036758423,6.487515091896057,6.519537448883057,3.4647165536880493,0.8661791384220123,1.0443110466003418
51,25.954110145568848,6.488527536392212,6.521002769470215,3.491963267326355,0.8729908168315887,1.0521847009658813
52,25.957848072052002,6.4894620180130005,6.522348403930664,3.5171589851379395,0.8792897462844849,1.059415578842163
53,25.961289405822754,6.4903223514556885,6.523582458496094,3.5404025316238403,0.8851006329059601,1.0660463571548462
54,25.964447498321533,6.491111874580383,6.5247111320495605,3.5618011355400085,0.8904502838850021,1.0721189975738525
55,25.967337608337402,6.491834402084351,6.5257415771484375,3.5814658403396606,0.8953664600849152,1.0776742696762085
56,25.970096588134766,6.492524147033691,6.526774883270264,3.601363956928253,0.9003409892320633,1.0836741924285889
57,25.972862720489502,6.4932156801223755,6.527693271636963,3.619996666908264,0.904999166727066,1.0891785621643066
58,25.975422859191895,6.493855714797974,6.528538703918457,3.637371838092804,0.909342959523201,1.0942566394805908
59,25.977782249450684,6.494445562362671,6.529314041137695,3.6535165309906006,0.9133791327476501,1.0989316701889038
60,25.981282711029053,6.495320677757263,6.530330181121826,3.677667200565338,0.9194168001413345,1.1054174900054932
61,25.98469114303589,6.496172785758972,6.531528472900391,3.6999465823173523,0.9249866455793381,1.1122674942016602
62,25.98785400390625,6.4969635009765625,6.532632350921631,3.7207283973693848,0.9301820993423462,1.1185765266418457
63,25.99077606201172,6.49769401550293,6.5336456298828125,3.7400404810905457,0.9350101202726364,1.1243759393692017
64,25.993465900421143,6.498366475105286,6.534574031829834,3.7579294443130493,0.9394823610782623,1.1296977996826172
65,25.995933532714844,6.498983383178711,6.535422325134277,3.7744548320770264,0.9436137080192566,1.134574294090271
66,25.99819040298462,6.499547600746155,6.536195278167725,3.7896847128868103,0.9474211782217026,1.1390366554260254
67,26.000248908996582,6.5000622272491455,6.536899089813232,3.803691804409027,0.9509229511022568,1.1431154012680054
68,26.00212001800537,6.500530004501343,6.537538051605225,3.8165515065193176,0.9541378766298294,1.1468396186828613
69,26.003814697265625,6.500953674316406,6.538115978240967,3.8283393383026123,0.9570848345756531,1.1502370834350586
